City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
277,monrovia,6.3005,-10.7969,26.81,86,95,3.92,LR,1701479456
278,huarmey,-10.0681,-78.1522,20.84,84,94,4.32,PE,1701479636
279,quibdo,5.6947,-76.6611,24.46,97,100,0.7,CO,1701479636
280,hilo,19.7297,-155.09,26.16,86,75,4.12,US,1701479636
281,howard springs,-12.497,131.047,33.88,79,58,3.22,AU,1701479636
282,sabang,5.8933,95.3214,26.62,85,100,8.28,ID,1701479454
283,senanga,-16.1167,23.2667,20.27,83,99,2.34,ZM,1701479637
284,mil'kovo,55.6078,37.7956,-4.73,98,84,2.59,RU,1701479637
285,golfito,8.639,-83.166,24.98,94,48,1.07,CR,1701479637
286,cekerek,40.0731,35.4947,7.76,71,92,2.54,TR,1701479637
287,lata,40.1629,-8.3327,6.71,92,0,0.34,PT,1701479637
288,antalaha,-14.9003,50.2788,24.06,90,87,1.78,MG,1701479626
289,poronaysk,49.2167,143.1167,-10.18,76,16,0.75,RU,1701479357
290,nantucket,41.2835,-70.0995,10.08,91,75,1.54,US,1701479638
291,kismayo,-0.3582,42.5454,25.82,85,100,2.01,SO,1701479577
292,haiku-pauwela,20.9219,-156.3051,26.01,76,75,5.14,US,1701479638
293,sorong,-0.8833,131.25,29.02,70,33,1.05,ID,1701479638
294,fontanelas,38.8472,-9.4372,12.27,83,7,6.21,PT,1701479638
295,ulety,51.3572,112.4849,-13.83,88,45,2.08,RU,1701479638
296,puerto carreno,6.189,-67.4859,28.48,59,93,2.96,CO,1701479638
297,varadero,23.1536,-81.2514,25.42,88,73,6.96,CU,1701479639
298,mhamid,29.82,-5.72,16.42,67,0,3.53,MA,1701479639
299,riyadh,24.6877,46.7219,14.08,36,0,2.82,SA,1701479353
300,port augusta,-32.5,137.7667,21.51,45,0,6.49,AU,1701479639
301,fale old settlement,-9.3852,-171.2468,28.3,79,100,3.32,TK,1701479569
302,hammerfest,70.6634,23.6821,-6.75,73,80,0,NO,1701479635
303,west bay,19.3667,-81.4167,28.04,85,20,3.09,KY,1701479634
304,ust-tsilma,65.441,52.1498,-7.99,98,100,0.45,RU,1701479506
305,tevriz,57.509,72.4042,-8.36,94,100,2.5,RU,1701479640
306,onega,63.9061,38.1404,-9.92,96,100,1.27,RU,1701479640
307,ritchie,-29.038,24.6028,24.56,27,94,4.16,ZA,1701479640
308,mokhsogollokh,61.4681,128.9203,-25.44,92,100,3.13,RU,1701479640
309,walvis bay,-22.9575,14.5053,17.83,81,89,6.63,NA,1701479641
310,torghay,49.6339,63.4981,0.06,69,100,4.2,KZ,1701479641
311,zeya,53.75,127.2667,-13.62,80,0,1.61,RU,1701479411
312,cascais,38.6979,-9.4215,13.02,82,7,16.09,PT,1701479641
313,markovo,57.3206,107.0881,-8.95,95,100,2.37,RU,1701479641
314,buala,-8.145,159.5921,28.65,77,100,5.65,SB,1701479641
315,jinzhou,41.1078,121.1417,-0.78,33,0,4.56,CN,1701479411
316,plastun,44.7561,136.2939,-6.87,57,10,3.29,RU,1701479642
317,talakan,50.3167,130.3667,-14.64,88,100,1.27,RU,1701479642
318,balakhta,55.38,91.6,-3.77,97,100,1.91,RU,1701479643
